city,country,location,newCity,newCountry,lat,long,tempF,humidity,cloud,windMPH,maxTemp,date
orcotuna,pe,"orcotuna, pe",Orcotuna,PE,-11.97,-75.33,40.71,99,92,1.59,40.71,2019-04-07
sloboda,ua,"sloboda, ua",Sloboda,UA,51.34,31.37,49.26,72,100,5.39,49.26,2019-04-07
yulara,au,"yulara, au",Yulara,AU,-25.24,130.99,62.6,42,0,4.7,62.6,2019-04-07
cap-aux-meules,ca,"cap-aux-meules, ca",Cap-aux-Meules,CA,47.38,-61.86,28.4,54,20,29.97,28.4,2019-04-07
malwan,in,"malwan, in",,,,,,,,,,2019-04-07
garmsar,ir,"garmsar, ir",Garmsar,IR,35.22,52.34,41.88,79,0,2.37,41.88,2019-04-07
mar del plata,ar,"mar del plata, ar",Mar del Plata,AR,-46.43,-67.52,49.44,100,92,9.42,49.44,2019-04-07
dunedin,nz,"dunedin, nz",Dunedin,NZ,-45.87,170.5,59,63,0,21,59,2019-04-07
una,br,"una, br",Una,BR,-15.29,-39.07,82.4,83,20,5.82,82.4,2019-04-07
epe,ng,"epe, ng",Epe,NG,6.59,3.98,82.11,85,64,7.96,82.11,2019-04-07
grand river south east,mu,"grand river south east, mu",,,,,,,,,,2019-04-07
eirunepe,br,"eirunepe, br",Eirunepe,BR,-6.66,-69.87,72.21,98,68,2.15,72.21,2019-04-07
dakar,sn,"dakar, sn",Dakar,SN,14.69,-17.45,70.92,77,0,9.17,73.4,2019-04-07
afmadu,so,"afmadu, so",,,,,,,,,,2019-04-07
konjic,ba,"konjic, ba",Konjic,BA,43.65,17.96,51.84,100,75,3.36,53.6,2019-04-07
henties bay,na,"henties bay, na",Henties Bay,NA,-22.12,14.28,57.99,90,0,3,57.99,2019-04-07
mayo,ca,"mayo, ca",Mayo,CA,63.59,-135.9,33.8,86,90,11.41,33.8,2019-04-07
witu,ke,"witu, ke",Witu,KE,-2.39,40.44,82.4,83,20,3.71,82.4,2019-04-07
surt,ly,"surt, ly",Surt,LY,31.21,16.59,58.17,97,0,4.27,58.17,2019-04-07
iseyin,ng,"iseyin, ng",Iseyin,NG,7.97,3.6,75,92,56,8.63,75,2019-04-07
gumdag,tm,"gumdag, tm",Gumdag,TM,39.2,54.59,58.8,77,92,0.58,58.8,2019-04-07
avon lake,us,"avon lake, us",Avon Lake,US,41.51,-82.02,66.81,60,90,13.87,71.6,2019-04-07
jamestown,sh,"jamestown, sh",Jamestown,SH,-15.94,-5.72,75.36,100,80,16.8,75.36,2019-04-07
leo,bf,"leo, bf",Leo,BF,11.1,-2.1,78.06,37,0,3.38,78.06,2019-04-07
parana,br,"parana, br",Parana,BR,-7.52,-72.89,75.2,78,90,4.7,75.2,2019-04-07
mount gambier,au,"mount gambier, au",Mount Gambier,AU,-37.83,140.78,53.6,100,90,8.05,53.6,2019-04-07
wlodawa,pl,"wlodawa, pl",Wlodawa,PL,51.55,23.55,37.4,93,0,1.12,37.4,2019-04-07
