City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
352,tchaourou,0,BJ,1554078422,57,8.89,2.6,83.87,6.76
353,bitkine,0,TD,1554078422,24,11.98,18.21,74.33,9.22
354,saint-joseph,0,FR,1554077885,75,43.56,6.97,51.8,4.7
355,methana,20,GR,1554078364,50,37.58,23.39,53.01,3.36
356,rosetown,48,CA,1554077919,43,51.55,-107.99,41.0,1.01
357,saint-pierre,0,FR,1554078334,81,48.95,4.24,55.4,6.93
358,grants,90,US,1554076500,87,35.15,-107.85,33.8,3.36
359,te anau,32,NZ,1554078424,68,-45.41,167.72,50.48,14.47
360,mezen,0,RU,1554078425,88,65.85,44.24,25.64,5.41
361,mahanoro,88,MG,1554078425,99,-19.9,48.8,72.71,2.06
362,tucumcari,90,US,1554078017,42,35.17,-103.73,46.4,4.63
363,tautira,20,PF,1554078141,70,-17.73,-149.15,87.8,6.93
364,nadvoitsy,76,RU,1554078425,83,63.89,34.27,26.99,6.64
365,teluk intan,90,MY,1554076800,94,4.02,101.03,78.01,3.36
366,belaya gora,0,RU,1554078426,84,68.54,146.19,15.83,4.63
367,vanderhoof,12,CA,1554078426,49,54.02,-124.02,47.15,3.29
368,tyrma,20,RU,1554078426,66,50.04,132.17,22.85,3.62
369,prieska,12,ZA,1554078426,31,-29.67,22.74,73.79,10.45
370,dzilam gonzalez,68,MX,1554078427,52,21.28,-88.93,84.32,4.85
371,acajutla,0,SV,1554078427,66,13.59,-89.83,82.16,4.97
372,pedernales,20,EC,1554078427,71,0.07,-80.05,76.94,6.76
373,faranah,0,GN,1554078427,66,10.04,-10.74,77.48,1.61
374,pundaguitan,0,PH,1554078428,100,6.37,126.17,79.37,8.55
375,fairbanks,1,US,1554078113,60,64.84,-147.72,54.0,5.64
376,koungheul,8,SN,1554078428,46,13.98,-14.8,79.46,7.2
377,manyana,75,AU,1554078136,100,-35.26,150.51,64.0,11.41
378,gornopravdinsk,0,RU,1554078428,76,60.06,69.92,30.14,11.01
379,rio grande,8,BR,1554078305,87,-32.03,-52.1,71.36,8.99
380,shingu,40,JP,1554076800,100,33.72,135.99,50.0,13.87
381,havoysund,40,NO,1554076200,79,71.0,24.66,28.4,48.32
382,miramar,75,CR,1554077139,54,10.09,-84.73,78.8,6.93
